,ATELNO,Sources
26679,ATEL #12355,sn2018evt
26680,ATEL #12355,asassn-18ro
26681,ATEL #12356,OT J000256.70+323252.3
26682,ATEL #12356,SDSS J000256.70+323251.9
26683,ATEL #12356,ztf19aaaajhn
26684,ATEL #12357,pks0537-441
26685,ATEL #12358,OT J070634.76+635056.9
26686,ATEL #12358,sn2010jl
26687,ATEL #12358,sn2018lkg
26688,ATEL #12359,icecube-190104a
26689,ATEL #12360,1ES 1218+304
26690,ATEL #12360,1ES1218+304
26691,ATEL #12361,at2019gc
26692,ATEL #12361,atlas19acv
26693,ATEL #12362,sn2008dx
26694,ATEL #12362,sn2019be
26695,ATEL #12362,atlas19aar
26696,ATEL #12362,at2019be
26697,ATEL #12363,asassn-19af
26698,ATEL #12363,sn2019a
26699,ATEL #12363,sn2019cj
26700,ATEL #12363,asassn-19aa
26701,ATEL #12364,ugc6929
26702,ATEL #12364,atlas19aaw
26703,ATEL #12364,sn1994d
26704,ATEL #12364,at2019bm
26705,ATEL #12364,sn2003du
26706,ATEL #12365,1ES 1218+304
26707,ATEL #12366,asassn-19ab
26708,ATEL #12366,ugc118
26709,ATEL #12366,at2019b
26710,ATEL #12367,sn2019bt
26711,ATEL #12367,sn2019bp
26712,ATEL #12367,ztf18adbyxua
26713,ATEL #12367,sn2019ci
26714,ATEL #12367,atlas19abc
26715,ATEL #12367,sn2018lhw
26716,ATEL #12367,ztf18adbzccu
26717,ATEL #12367,ztf18adcakbo
26718,ATEL #12367,at2018lkb
26719,ATEL #12367,atlas19abg
26720,ATEL #12368,at2019jc
26721,ATEL #12368,atlas19aep
26722,ATEL #12368,ugc11849
26723,ATEL #12369,at2018xyz
26724,ATEL #12369,at2019kh
26725,ATEL #12369,asassn-18xx
26726,ATEL #12369,asassn-19ai
26727,ATEL #12370,frb181228
26728,ATEL #12371,sn2019jf
26729,ATEL #12371,atlas19aew
26730,ATEL #12371,ztf19aabyheu
26731,ATEL #12371,sn2018kcw
26732,ATEL #12371,sn2019gf
26733,ATEL #12371,asassn-18abx
26734,ATEL #12371,sn2019kf
26735,ATEL #12371,atlas19adv
26736,ATEL #12372,XTE J1810-197
26737,ATEL #12373,ic2163
26738,ATEL #12373,sn2018lab
26739,ATEL #12374,at2019np
26740,ATEL #12374,sn1999cp
26741,ATEL #12374,ngc3254
26742,ATEL #12375,at2019np
26743,ATEL #12375,ngc3254
